vid	yid	start	end	raw-text	tokenized-text	gloss	split	duration_sec	word_count
ZclWUI2HxuE-00:03:18.740-00:03:24.960	ZclWUI2HxuE	00:03:18.740	00:03:24.960	According to the Indonesia Disaster Management Agency, the death toll exceeds 1,700.	according to the indonesia disaster management agency the death toll exceeds 1,700		train	6.219999999999999	12
ZclWUI2HxuE-00:01:18.620-00:01:25.840	ZclWUI2HxuE	00:01:18.620	00:01:25.840	Protesters also gathered on the Supreme Court steps through the afternoon into evening.	protesters also gathered on the supreme court steps through the afternoon into evening		train	7.219999999999999	13
ZclWUI2HxuE-00:00:59.899-00:01:07.859	ZclWUI2HxuE	00:00:59.899	00:01:07.859	Only a few hours earlier, the Senate confirmed Kavanaugh by a 50 to 48 vote.	only a few hours earlier the senate confirmed kavanaugh by a 50 to 48 vote		train	7.959999999999994	15
ZclWUI2HxuE-00:04:43.779-00:04:47.259	ZclWUI2HxuE	00:04:43.779	00:04:47.259	The victims do not appear connected.	the victims do not appear connected		train	3.480000000000018	6
FbZrrTY0h2k-00:00:26.160-00:00:27.679	FbZrrTY0h2k	00:00:26.160	00:00:27.679	Welcome to Sign1News.	welcome to sign1news		train	1.5189999999999984	3
FbZrrTY0h2k-00:00:24.660-00:00:26.160	FbZrrTY0h2k	00:00:24.660	00:00:26.160	Hello everyone.	hello everyone		train	1.5	2
ZclWUI2HxuE-00:07:18.579-00:07:21.639	ZclWUI2HxuE	00:07:18.579	00:07:21.639	Your language.	your language		train	3.0600000000000023	2
ZclWUI2HxuE-00:07:16.339-00:07:18.579	ZclWUI2HxuE	00:07:16.339	00:07:18.579	Your life.	your life		train	2.240000000000009	2
ZclWUI2HxuE-00:07:14.079-00:07:16.339	ZclWUI2HxuE	00:07:14.079	00:07:16.339	Sign1News.	sign1news		train	2.259999999999991	1
ZclWUI2HxuE-00:07:08.279-00:07:14.000	ZclWUI2HxuE	00:07:08.279	00:07:14.000	Remember to like us on Facebook and follow us on Twitter.	remember to like us on facebook and follow us on twitter		train	5.721000000000004	11
ZclWUI2HxuE-00:07:05.100-00:07:08.279	ZclWUI2HxuE	00:07:05.100	00:07:08.279	Thank you for watching Sign1News.	thank you for watching sign1news		train	3.1789999999999736	5
ZclWUI2HxuE-00:07:02.899-00:07:05.100	ZclWUI2HxuE	00:07:02.899	00:07:05.100	I'm Crystal Cousineau.	i 'm crystal cousineau		train	2.201000000000022	4
ZclWUI2HxuE-00:07:00.720-00:07:02.899	ZclWUI2HxuE	00:07:00.720	00:07:02.899	And those are your top stories for today.	and those are your top stories for today		train	2.1789999999999736	8
ZclWUI2HxuE-00:04:50.639-00:04:57.279	ZclWUI2HxuE	00:04:50.639	00:04:57.279	Actor Scott Wilson has passed away.	actor scott wilson has passed away		train	6.639999999999986	6
ZclWUI2HxuE-00:05:49.439-00:05:53.939	ZclWUI2HxuE	00:05:49.439	00:05:53.939	Wilson died after a battle with cancer.	wilson died after a battle with cancer		train	4.5	7
ZclWUI2HxuE-00:05:45.959-00:05:48.156	ZclWUI2HxuE	00:05:45.959	00:05:48.156	Rest in paradise, Scott.	rest in paradise scott		train	2.1970000000000027	4
ZclWUI2HxuE-00:05:42.560-00:05:45.959	ZclWUI2HxuE	00:05:42.560	00:05:45.959	Our thoughts are with his family and friends.	our thoughts are with his family and friends		train	3.399000000000001	8
ZclWUI2HxuE-00:05:18.800-00:05:24.740	ZclWUI2HxuE	00:05:18.800	00:05:24.740	Producers had already filmed his scenes before he died.	producers had already filmed his scenes before he died		train	5.939999999999998	9
ZclWUI2HxuE-00:00:33.460-00:00:37.880	ZclWUI2HxuE	00:00:33.460	00:00:37.880	Kavanaugh stood alongside his wife and two daughters.	kavanaugh stood alongside his wife and two daughters		train	4.420000000000002	8
ZclWUI2HxuE-00:00:27.120-00:00:33.460	ZclWUI2HxuE	00:00:27.120	00:00:33.460	A brief, private ceremony was performed early Saturday night at the Supreme Court.	a brief private ceremony was performed early saturday night at the supreme court		train	6.34	13
AKtthktaYps-00:06:16.639-00:06:19.399	AKtthktaYps	00:06:16.639	00:06:19.399	But there is encouraging news from the report.	but there is encouraging news from the report		train	2.759999999999991	8
AKtthktaYps-00:04:35.759-00:04:41.120	AKtthktaYps	00:04:35.759	00:04:41.120	Monday is Cyber Monday.	monday is cyber monday		train	5.36099999999999	4
AKtthktaYps-00:04:17.000-00:04:21.680	AKtthktaYps	00:04:17.000	00:04:21.680	He suggests waiting until after Christmas when everything is much cheaper.	he suggests waiting until after christmas when everything is much cheaper		train	4.680000000000007	11
AKtthktaYps-00:03:47.819-00:03:53.479	AKtthktaYps	00:03:47.819	00:03:53.479	She and her family buy one gift for one person so everyone will have a gift.	she and her family buy one gift for one person so everyone will have a gift		train	5.659999999999968	16
ZclWUI2HxuE-00:00:12.300-00:00:14.720	ZclWUI2HxuE	00:00:12.300	00:00:14.720	Here are your top stories for today.	here are your top stories for today		train	2.42	7
ZclWUI2HxuE-00:00:10.359-00:00:12.300	ZclWUI2HxuE	00:00:10.359	00:00:12.300	I'm Crystal Cousineau.	i 'm crystal cousineau		train	1.9410000000000007	4
ZclWUI2HxuE-00:00:07.299-00:00:10.359	ZclWUI2HxuE	00:00:07.299	00:00:10.359	Welcome to Sign1News.	welcome to sign1news		train	3.06	3
ZclWUI2HxuE-00:00:05.879-00:00:07.299	ZclWUI2HxuE	00:00:05.879	00:00:07.299	Hello everyone.	hello everyone		train	1.4200000000000008	2
AKtthktaYps-00:10:34.000-00:10:41.919	AKtthktaYps	00:10:34.000	00:10:41.919	Your language.	your language		train	7.918999999999983	2
AKtthktaYps-00:10:32.159-00:10:34.000	AKtthktaYps	00:10:32.159	00:10:34.000	Your life.	your life		train	1.841000000000008	2
AKtthktaYps-00:10:30.000-00:10:32.080	AKtthktaYps	00:10:30.000	00:10:32.080	Sign1News.	sign1news		train	2.080000000000041	1
AKtthktaYps-00:10:25.440-00:10:29.679	AKtthktaYps	00:10:25.440	00:10:29.679	Remember to like us on Facebook and follow us on Twitter.	remember to like us on facebook and follow us on twitter		train	4.238999999999919	11
AKtthktaYps-00:10:22.000-00:10:24.879	AKtthktaYps	00:10:22.000	00:10:24.879	Thank you for watching Sign1News.	thank you for watching sign1news		train	2.879000000000019	5
AKtthktaYps-00:10:20.399-00:10:21.919	AKtthktaYps	00:10:20.399	00:10:21.919	I'm Crystal Cousineau.	i 'm crystal cousineau		train	1.5199999999999818	4
AKtthktaYps-00:10:17.759-00:10:20.399	AKtthktaYps	00:10:17.759	00:10:20.399	And those are your top stories for today.	and those are your top stories for today		train	2.6399999999999864	8
AKtthktaYps-00:09:01.600-00:09:08.240	AKtthktaYps	00:09:01.600	00:09:08.240	Well this is how I spent some of my Thanksgiving yesterday.	well this is how i spent some of my thanksgiving yesterday		train	6.639999999999986	11
AKtthktaYps-00:08:46.960-00:08:52.159	AKtthktaYps	00:08:46.960	00:08:52.159	Gannon died at a local hospital.	gannon died at a local hospital		train	5.198999999999955	6
pnrrxWEKZUw-00:00:31.440-00:00:35.119	pnrrxWEKZUw	00:00:31.440	00:00:35.119	Great job, Italy s organizing committee for arranging everything.	great job italy s organizing committee for arranging everything		train	3.6789999999999994	9
pnrrxWEKZUw-00:00:26.600-00:00:29.719	pnrrxWEKZUw	00:00:26.600	00:00:29.719	This hotel provides buffet style  meals three times a day; breakfast, lunch and dinner.	this hotel provides buffet style meals three times a day breakfast lunch and dinner		train	3.119	14
pnrrxWEKZUw-00:00:23.160-00:00:26.600	pnrrxWEKZUw	00:00:23.160	00:00:26.600	There are many international people sleeping here and they are easygoing and friendly.	there are many international people sleeping here and they are easygoing and friendly		train	3.4400000000000013	13
pnrrxWEKZUw-00:00:19.160-00:00:23.160	pnrrxWEKZUw	00:00:19.160	00:00:23.160	Every place looks like a log cabin with wooden architecture.	every place looks like a log cabin with wooden architecture		train	4.0	10
pnrrxWEKZUw-00:00:11.519-00:00:15.199	pnrrxWEKZUw	00:00:11.519	00:00:15.199	Most ski and snowboard events are within walking distance around here.	most ski and snowboard events are within walking distance around here		train	3.68	11
pnrrxWEKZUw-00:00:08.679-00:00:11.519	pnrrxWEKZUw	00:00:08.679	00:00:11.519	Yeah, it feels like a ski resort here.	yeah it feels like a ski resort here		train	2.84	8
pnrrxWEKZUw-00:00:56.039-00:01:00.719	pnrrxWEKZUw	00:00:56.039	00:01:00.719	First, alpine skiing.	first alpine skiing		train	4.68	3
pnrrxWEKZUw-00:00:06.679-00:00:08.679	pnrrxWEKZUw	00:00:06.679	00:00:08.679	We are staying in a nice hotel.	we are staying in a nice hotel		train	2.0	7
7ZD77TloaUw-00:05:14.019-00:05:17.959	7ZD77TloaUw	00:05:14.019	00:05:17.959	Alex: I ve really enjoyed StreetLeverage and thank you to Linguabee for bringing me here!	alex i ve really enjoyed streetleverage and thank you to linguabee for bringing me here		train	3.9399999999999977	15
7ZD77TloaUw-00:05:10.589-00:05:13.180	7ZD77TloaUw	00:05:10.589	00:05:13.180	This learning process is wonderful.	this learning process is wonderful		train	2.591000000000008	5
7ZD77TloaUw-00:05:08.360-00:05:10.589	7ZD77TloaUw	00:05:08.360	00:05:10.589	We benefit from this and learn.	we benefit from this and learn		train	2.228999999999985	6
7ZD77TloaUw-00:05:00.879-00:05:07.980	7ZD77TloaUw	00:05:00.879	00:05:07.980	Brandon: I hope in the future other people will come and we can have a discussion and bring more perspectives.	brandon i hope in the future other people will come and we can have a discussion and bring more perspectives		train	7.100999999999999	20
7ZD77TloaUw-00:04:53.000-00:05:00.620	7ZD77TloaUw	00:04:53.000	00:05:00.620	Good people are here, and that s champ because when they go back to their hometowns, they will spread the positivity.	good people are here and that s champ because when they go back to their hometowns they will spread the positivity		train	7.620000000000003	21
7ZD77TloaUw-00:04:49.100-00:04:52.980	7ZD77TloaUw	00:04:49.100	00:04:52.980	I can see that  our community has a good future with interpreting.	i can see that our community has a good future with interpreting		train	3.879999999999996	12
7ZD77TloaUw-00:04:46.620-00:04:49.100	7ZD77TloaUw	00:04:46.620	00:04:49.100	Alex: This conference, GreenLasso, wow.	alex this conference greenlasso wow		train	2.480000000000018	5
7ZD77TloaUw-00:04:28.879-00:04:32.620	7ZD77TloaUw	00:04:28.879	00:04:32.620	We can show that the community can take care of each other.	we can show that the community can take care of each other		train	3.7409999999999854	12
pnrrxWEKZUw-00:00:03.680-00:00:06.679	pnrrxWEKZUw	00:00:03.680	00:00:06.679	Hello, today is Sunday and we are in Santa Caterina.	hello today is sunday and we are in santa caterina		train	2.999	10
7ZD77TloaUw-00:04:25.420-00:04:28.879	7ZD77TloaUw	00:04:25.420	00:04:28.879	Brandon: All of us involved with GreenLasso feel we can do better.	brandon all of us involved with greenlasso feel we can do better		train	3.459000000000003	12
pnrrxWEKZUw-00:01:22.000-00:01:26.000	pnrrxWEKZUw	00:01:22.000	00:01:26.000	The skier with the fastest time wins the gold medal.	the skier with the fastest time wins the gold medal		train	4.0	10
pnrrxWEKZUw-00:04:33.040-00:04:38.319	pnrrxWEKZUw	00:04:33.040	00:04:38.319	Just making sure we re ready for Russia on Tuesday.	just making sure we re ready for russia on tuesday		train	5.278999999999996	10
pnrrxWEKZUw-00:04:29.720-00:04:33.040	pnrrxWEKZUw	00:04:29.720	00:04:33.040	Take good shots on the net.	take good shots on the net		train	3.319999999999993	6
pnrrxWEKZUw-00:04:23.759-00:04:29.720	pnrrxWEKZUw	00:04:23.759	00:04:29.720	I told the team to continue working hard and to make good plays.	i told the team to continue working hard and to make good plays		train	5.961000000000013	13
pnrrxWEKZUw-00:04:20.759-00:04:23.759	pnrrxWEKZUw	00:04:20.759	00:04:23.759	I thought the U.S. team played good.	i thought the u.s. team played good		train	3.0	7
pnrrxWEKZUw-00:04:18.160-00:04:20.759	pnrrxWEKZUw	00:04:18.160	00:04:20.759	What do you think of tonight s game?	what do you think of tonight s game		train	2.598999999999989	8
pnrrxWEKZUw-00:04:15.039-00:04:18.160	pnrrxWEKZUw	00:04:15.039	00:04:18.160	We just won against Kazakhstan,  14-0.	we just won against kazakhstan 14 0		train	3.1210000000000377	7
pnrrxWEKZUw-00:03:35.680-00:03:38.000	pnrrxWEKZUw	00:03:35.680	00:03:38.000	It is his third gold medal for this Winter Deaflympics.	it is his third gold medal for this winter deaflympics		train	2.319999999999993	10
pnrrxWEKZUw-00:03:34.000-00:03:35.680	pnrrxWEKZUw	00:03:34.000	00:03:35.680	Indeed, it was a nice proposal.	indeed it was a nice proposal		train	1.6800000000000068	6
pnrrxWEKZUw-00:03:26.039-00:03:28.039	pnrrxWEKZUw	00:03:26.039	00:03:28.039	People there were heartfelt by the proposal.	people there were heartfelt by the proposal		train	2.0	7
pnrrxWEKZUw-00:03:19.639-00:03:23.319	pnrrxWEKZUw	00:03:19.639	00:03:23.319	He is from Italy and his name is Giacomo Pierbon.	he is from italy and his name is giacomo pierbon		train	3.6799999999999775	10
pnrrxWEKZUw-00:03:17.639-00:03:19.639	pnrrxWEKZUw	00:03:17.639	00:03:19.639	Who won the first place in Super G?	who won the first place in super g		train	2.0	8
pnrrxWEKZUw-00:02:57.199-00:03:00.520	pnrrxWEKZUw	00:02:57.199	00:03:00.520	Placing at 11th place was Jakob  Wollan.	placing at 11th place was jakob wollan		train	3.320999999999998	7
pnrrxWEKZUw-00:02:51.840-00:02:57.199	pnrrxWEKZUw	00:02:51.840	00:02:57.199	Out of our three  Americans, the best time was 11th place out of 33.	out of our three americans the best time was 11th place out of 33		train	5.359000000000009	14
pnrrxWEKZUw-00:02:48.514-00:02:51.840	pnrrxWEKZUw	00:02:48.514	00:02:51.840	Second and third place is  France.	second and third place is france		train	3.3259999999999934	6
pnrrxWEKZUw-00:02:46.520-00:02:48.514	pnrrxWEKZUw	00:02:46.520	00:02:48.514	First place is Italy.	first place is italy		train	1.994	4
pnrrxWEKZUw-00:02:44.120-00:02:46.520	pnrrxWEKZUw	00:02:44.120	00:02:46.520	We ve finished the Super G race.	we ve finished the super g race		train	2.4000000000000057	7
pnrrxWEKZUw-00:01:28.400-00:01:31.680	pnrrxWEKZUw	00:01:28.400	00:01:31.680	We have 3 Americans in this  race.	we have 3 americans in this race		train	3.280000000000001	7
pnrrxWEKZUw-00:01:26.000-00:01:28.400	pnrrxWEKZUw	00:01:26.000	00:01:28.400	That s with only one run down the mountain.	that s with only one run down the mountain		train	2.4000000000000057	9
pnrrxWEKZUw-00:03:23.319-00:03:26.039	pnrrxWEKZUw	00:03:23.319	00:03:26.039	After he skied down, he proposed to his girlfriend at the bottom.	after he skied down he proposed to his girlfriend at the bottom		train	2.719999999999999	12
pnrrxWEKZUw-00:04:40.160-00:04:42.160	pnrrxWEKZUw	00:04:40.160	00:04:42.160	Yeah, it was a lopsided game.	yeah it was a lopsided game		train	2.0	6
7ZD77TloaUw-00:04:21.524-00:04:24.899	7ZD77TloaUw	00:04:21.524	00:04:24.899	And it happened in my home area, which makes it more special.	and it happened in my home area which makes it more special		train	3.375	12
7ZD77TloaUw-00:04:15.180-00:04:19.620	7ZD77TloaUw	00:04:15.180	00:04:19.620	Linguabee has got involved by running it, providing support for this.	linguabee has got involved by running it providing support for this		train	4.439999999999998	11
UBHIPWeJzUE-00:08:19.132-00:08:20.466	UBHIPWeJzUE	00:08:19.132	00:08:20.466	Captioned by aslcaptions.com	captioned by aslcaptions.com		train	1.3340000000000032	3
UBHIPWeJzUE-00:08:15.862-00:08:19.132	UBHIPWeJzUE	00:08:15.862	00:08:19.132	Have a great weekend and stay with the light.	have a great weekend and stay with the light		train	3.269999999999982	9
UBHIPWeJzUE-00:08:10.923-00:08:15.862	UBHIPWeJzUE	00:08:10.923	00:08:15.862	Check out our Deaf News and Election 2020 videos.	check out our deaf news and election 2020 videos		train	4.939000000000021	9
UBHIPWeJzUE-00:08:07.387-00:08:10.923	UBHIPWeJzUE	00:08:07.387	00:08:10.923	That is all the top news briefs for this week.	that is all the top news briefs for this week		train	3.5360000000000014	10
UBHIPWeJzUE-00:07:37.857-00:07:41.927	UBHIPWeJzUE	00:07:37.857	00:07:41.927	He is out of the hospital now and appears to be recovering.	he is out of the hospital now and appears to be recovering		train	4.07000000000005	12
UBHIPWeJzUE-00:06:16.141-00:06:23.916	UBHIPWeJzUE	00:06:16.141	00:06:23.916	Trump and Biden are scheduled to debate on October 22, which is next Thursday.	trump and biden are scheduled to debate on october 22 which is next thursday		train	7.774999999999977	14
UBHIPWeJzUE-00:05:43.976-00:05:48.781	UBHIPWeJzUE	00:05:43.976	00:05:48.781	He said he is not against fracking.	he said he is not against fracking		train	4.805000000000007	7
UBHIPWeJzUE-00:06:13.773-00:06:16.141	UBHIPWeJzUE	00:06:13.773	00:06:16.141	That's the recaps.	that 's the recaps		train	2.367999999999995	4
7ZD77TloaUw-00:04:19.620-00:04:21.524	7ZD77TloaUw	00:04:19.620	00:04:21.524	I think it s wonderful and special.	i think it s wonderful and special		train	1.9039999999999964	7
7ZD77TloaUw-00:00:14.839-00:00:17.135	7ZD77TloaUw	00:00:14.839	00:00:17.135	It s my first time at a StreetLeverage conference.	it s my first time at a streetleverage conference		train	2.296000000000001	9
7ZD77TloaUw-00:03:51.800-00:03:53.919	7ZD77TloaUw	00:03:51.800	00:03:53.919	It s possible now, it starts now.	it s possible now it starts now		train	2.118999999999972	7
7ZD77TloaUw-00:03:49.257-00:03:51.800	7ZD77TloaUw	00:03:49.257	00:03:51.800	Give back to the community now.	give back to the community now		train	2.5430000000000064	6
7ZD77TloaUw-00:03:46.000-00:03:49.257	7ZD77TloaUw	00:03:46.000	00:03:49.257	Now, with GreenLasso, we can change that.	now with greenlasso we can change that		train	3.257000000000005	7
7ZD77TloaUw-00:03:42.498-00:03:45.020	7ZD77TloaUw	00:03:42.498	00:03:45.020	I was just  there.  No interpreters were present.	i was just there no interpreters were present		train	2.52200000000002	8
7ZD77TloaUw-00:03:22.800-00:03:25.872	7ZD77TloaUw	00:03:22.800	00:03:25.872	When I turned three, my parents hosted a birthday party.	when i turned three my parents hosted a birthday party		train	3.0720000000000027	10
7ZD77TloaUw-00:03:19.139-00:03:22.800	7ZD77TloaUw	00:03:19.139	00:03:22.800	I was at a wedding celebration, I was there, but no interpreters were present.	i was at a wedding celebration i was there but no interpreters were present		train	3.661000000000002	14
7ZD77TloaUw-00:03:13.439-00:03:18.900	7ZD77TloaUw	00:03:13.439	00:03:18.900	Chad: What are the missing moments, the important moments in our lives that are missing?	chad what are the missing moments the important moments in our lives that are missing		train	5.461000000000013	15
7ZD77TloaUw-00:03:11.340-00:03:13.340	7ZD77TloaUw	00:03:11.340	00:03:13.340	Thank you and come on up, Chad.	thank you and come on up chad		train	2.0	7
7ZD77TloaUw-00:02:48.486-00:02:53.080	7ZD77TloaUw	00:02:48.486	00:02:53.080	Two and a half years we have been working to start this.	two and a half years we have been working to start this		train	4.593999999999994	12
7ZD77TloaUw-00:02:44.620-00:02:48.486	7ZD77TloaUw	00:02:44.620	00:02:48.486	Brandon: GreenLasso  Wow, it s been a long time.	brandon greenlasso wow it s been a long time		train	3.8659999999999854	9
7ZD77TloaUw-00:02:15.400-00:02:18.319	7ZD77TloaUw	00:02:15.400	00:02:18.319	And they bring wonderful speakers.	and they bring wonderful speakers		train	2.9189999999999827	5
7ZD77TloaUw-00:00:54.240-00:01:00.159	7ZD77TloaUw	00:00:54.240	00:01:00.159	Opening presentations, a performance by Ben Bahan, different presenters, and a fundraiser for CSDF.	opening presentations a performance by ben bahan different presenters and a fundraiser for csdf		train	5.918999999999997	14
7ZD77TloaUw-00:00:46.740-00:00:49.219	7ZD77TloaUw	00:00:46.740	00:00:49.219	That is the heart of StreetLeverage.	that is the heart of streetleverage		train	2.478999999999999	6
7ZD77TloaUw-00:03:02.840-00:03:10.759	7ZD77TloaUw	00:03:02.840	00:03:10.759	Thank you to Linguabee for providing the kind of system that will make it possible to roll out.	thank you to linguabee for providing the kind of system that will make it possible to roll out		train	7.919000000000011	18
pnrrxWEKZUw-00:04:42.160-00:04:45.720	pnrrxWEKZUw	00:04:42.160	00:04:45.720	US Men hockey team has a robust program while Kazakhstan is relatively new.	us men hockey team has a robust program while kazakhstan is relatively new		train	3.560000000000059	13
pnrrxWEKZUw-00:04:48.560-00:04:54.560	pnrrxWEKZUw	00:04:48.560	00:04:54.560	Do you remember a few days ago when we attended the hockey match and there were four Italian referees who came and shook our hands?	do you remember a few days ago when we attended the hockey match and there were four italian referees who came and shook our hands		train	6.0	25
WSPCvubQxoI-00:08:18.697-00:08:22.369	WSPCvubQxoI	00:08:18.697	00:08:22.369	That is all the top news briefs for today.	that is all the top news briefs for today		train	3.6720000000000255	9
WSPCvubQxoI-00:06:27.153-00:06:31.490	WSPCvubQxoI	00:06:27.153	00:06:31.490	2.5 million have recovered.	2.5 million have recovered		train	4.336999999999989	4
WSPCvubQxoI-00:06:11.004-00:06:15.875	WSPCvubQxoI	00:06:11.004	00:06:15.875	Brazil has 4.3 million cases.	brazil has 4.3 million cases		train	4.870999999999981	5
WSPCvubQxoI-00:08:22.369-00:08:25.305	WSPCvubQxoI	00:08:22.369	00:08:25.305	See you tomorrow and stay with the light.	see you tomorrow and stay with the light		train	2.935999999999978	8
WSPCvubQxoI-00:06:05.497-00:06:11.004	WSPCvubQxoI	00:06:05.497	00:06:11.004	India has the second most cases with 5 million.	india has the second most cases with 5 million		train	5.507000000000005	9
WSPCvubQxoI-00:04:36.675-00:04:43.315	WSPCvubQxoI	00:04:36.675	00:04:43.315	She taught French language and culture.	she taught french language and culture		train	6.639999999999986	6
WSPCvubQxoI-00:03:21.668-00:03:29.042	WSPCvubQxoI	00:03:21.668	00:03:29.042	Democratic congressional leaders have demanded an investigation.	democratic congressional leaders have demanded an investigation		train	7.373999999999995	7
WSPCvubQxoI-00:08:25.305-00:08:26.605	WSPCvubQxoI	00:08:25.305	00:08:26.605	Captioned by aslcaptions.com	captioned by aslcaptions.com		train	1.3000000000000114	3
dP56fO6l8ps-00:00:18.768-00:00:23.899	dP56fO6l8ps	00:00:18.768	00:00:23.899	She is an animated character named Hailey Cooper.	she is an animated character named hailey cooper		train	5.131	8
yYYYXAAbH7A-00:00:08.984-00:00:11.384	yYYYXAAbH7A	00:00:08.984	00:00:11.384	Ready for the news?	ready for the news		train	2.4000000000000004	4
yYYYXAAbH7A-00:00:06.464-00:00:08.984	yYYYXAAbH7A	00:00:06.464	00:00:08.984	It is Friday, May 17.	it is friday may 17		train	2.52	5
yYYYXAAbH7A-00:00:03.753-00:00:06.464	yYYYXAAbH7A	00:00:03.753	00:00:06.464	Hello, welcome to the Daily Moth.	hello welcome to the daily moth		train	2.7110000000000003	6
dP56fO6l8ps-00:03:47.727-00:03:49.104	dP56fO6l8ps	00:03:47.727	00:03:49.104	Captioned by aslcaptions.com	captioned by aslcaptions.com		train	1.3769999999999811	3
dP56fO6l8ps-00:03:42.222-00:03:47.727	dP56fO6l8ps	00:03:42.222	00:03:47.727	If you have PS4 or PS5, be sure to grab a chance to get that game!	if you have ps4 or ps5 be sure to grab a chance to get that game		train	5.504999999999996	16
dP56fO6l8ps-00:03:04.308-00:03:10.649	dP56fO6l8ps	00:03:04.308	00:03:10.649	Insomniac Games replied that it was an oversight on their part and apologized for missing it.	insomniac games replied that it was an oversight on their part and apologized for missing it		train	6.341000000000008	16
dP56fO6l8ps-00:02:59.805-00:03:04.308	dP56fO6l8ps	00:02:59.805	00:03:04.308	"Someone replied that the game should use ""Deaf"" not ""hearing impaired."""	someone replied that the game should use deaf not hearing impaired		train	4.502999999999986	11
dP56fO6l8ps-00:02:45.414-00:02:48.043	dP56fO6l8ps	00:02:45.414	00:02:48.043	It describes her as hearing impaired.	it describes her as hearing impaired		train	2.629000000000019	6
dP56fO6l8ps-00:01:14.740-00:01:22.165	dP56fO6l8ps	00:01:14.740	00:01:22.165	In the game, the Spider-man character, Morales, learned ASL from a fictional school.	in the game the spider man character morales learned asl from a fictional school		train	7.424999999999997	14
dP56fO6l8ps-00:00:32.115-00:00:37.119	dP56fO6l8ps	00:00:32.115	00:00:37.119	Marvel Entertainment released a clip of the video game two weeks ago.	marvel entertainment released a clip of the video game two weeks ago		train	5.003999999999998	12
pnrrxWEKZUw-00:04:45.720-00:04:48.560	pnrrxWEKZUw	00:04:45.720	00:04:48.560	But I hope Kazakhstan continues to improve and make progress in their hockey program.	but i hope kazakhstan continues to improve and make progress in their hockey program		train	2.839999999999975	14
pnrrxWEKZUw-00:07:09.504-00:07:11.319	pnrrxWEKZUw	00:07:09.504	00:07:11.319	I hope you ll watch!	i hope you ll watch		train	1.8149999999999975	5
pnrrxWEKZUw-00:07:07.000-00:07:09.504	pnrrxWEKZUw	00:07:07.000	00:07:09.504	This is the technology I use.	this is the technology i use		train	2.504000000000019	6
pnrrxWEKZUw-00:07:03.000-00:07:07.000	pnrrxWEKZUw	00:07:03.000	00:07:07.000	There are plenty of live shows of curling games.	there are plenty of live shows of curling games		train	4.0	9
pnrrxWEKZUw-00:06:57.720-00:07:03.000	pnrrxWEKZUw	00:06:57.720	00:07:03.000	Go to YouTube and type in WD2019  Media.	go to youtube and type in wd2019 media		train	5.279999999999973	8
pnrrxWEKZUw-00:06:55.913-00:06:57.720	pnrrxWEKZUw	00:06:55.913	00:06:57.720	We offer live streaming.	we offer live streaming		train	1.8070000000000164	4
pnrrxWEKZUw-00:06:53.656-00:06:55.120	pnrrxWEKZUw	00:06:53.656	00:06:55.120	This is my job with filming.	this is my job with filming		train	1.4639999999999986	6
pnrrxWEKZUw-00:06:51.117-00:06:52.800	pnrrxWEKZUw	00:06:51.117	00:06:52.800	This is my sign name.	this is my sign name		train	1.6829999999999927	5
pnrrxWEKZUw-00:06:24.439-00:06:25.759	pnrrxWEKZUw	00:06:24.439	00:06:25.759	He s only 15 years old.	he s only 15 years old		train	1.3199999999999932	6
pnrrxWEKZUw-00:06:14.839-00:06:21.920	pnrrxWEKZUw	00:06:14.839	00:06:21.920	With four U.S. players against four Italian  players, three Italian players  beat three of our players, while  one U.S. player beat one Italian player.	with four u.s. players against four italian players three italian players beat three of our players while one u.s. player beat one italian player		train	7.081000000000017	24
pnrrxWEKZUw-00:06:11.839-00:06:14.839	pnrrxWEKZUw	00:06:11.839	00:06:14.839	In our 4-on-4 match, we lost to Italy, 1-3.	in our 4 on-4 match we lost to italy 1 3		train	3.0	11
pnrrxWEKZUw-00:06:04.480-00:06:11.839	pnrrxWEKZUw	00:06:04.480	00:06:11.839	As for Chess, U.S. Men s Chess team played 4-on-4  team matches with other  countries.	as for chess u.s. men s chess team played 4 on-4 team matches with other countries		train	7.3589999999999804	16
pnrrxWEKZUw-00:06:01.160-00:06:04.480	pnrrxWEKZUw	00:06:01.160	00:06:04.480	However, they still have more games this week.	however they still have more games this week		train	3.319999999999993	8
pnrrxWEKZUw-00:05:53.480-00:06:01.160	pnrrxWEKZUw	00:05:53.480	00:06:01.160	It will be tough for Men s Curling Team to make it to the top 4 because those with the  best records qualify for the quarterfinals.	it will be tough for men s curling team to make it to the top 4 because those with the best records qualify for the quarterfinals		train	7.680000000000007	26
pnrrxWEKZUw-00:05:16.000-00:05:18.000	pnrrxWEKZUw	00:05:16.000	00:05:18.000	The evening game against Russia was 3-9.	the evening game against russia was 3 9		train	2.0	8
pnrrxWEKZUw-00:05:13.120-00:05:16.000	pnrrxWEKZUw	00:05:13.120	00:05:16.000	At the morning game against Finland, the final score was 2-7.	at the morning game against finland the final score was 2-7		train	2.8799999999999955	11
pnrrxWEKZUw-00:05:06.639-00:05:13.120	pnrrxWEKZUw	00:05:06.639	00:05:13.120	Update on U.S. Men s Curling - we had two games today that we lost.	update on u.s. men s curling we had two games today that we lost		train	6.4809999999999945	14
